mAb_name,AbStruc_loops,AbStruc_amide_amide_interactions,AbStruc_amide_ring_interactions,AbStruc_beta_bridges,AbStruc_carbon_pi_interactions,AbStruc_cation_pi_interactions,AbStruc_donor_pi_interactions,AbStruc_beta_strands,AbStruc_threeten_helices,AbStruc_alpha_helices,AbStruc_total_interactions,AbStruc_metsulphur_pi_interactions,AbStruc_beta_bends,AbStruc_beta_turns,AbStruc_aromatic_interactions,AbStruc_atom_atom_sum,AbStruc_atom_plane_sum,AbStruc_carbonyl_interactions,AbStruc_steric_clashes,AbStruc_covbonds,AbStruc_mean_interaction_distance,AbStruc_hbonds,AbStruc_hydrophobic_interactions,AbStruc_ibonds,AbStruc_phi_angle,AbStruc_plane_plane_interactions,AbStruc_pbonds,AbStruc_proximal_interactions,AbStruc_psi_angle,AbStruc_vdw_interactions,AbStruc_vdw_clashes,AbStruc_weak_pbonds,AbStruc_folding_energy,AbStruc_unfolded_charge,AbStruc_folded_charge,AbStruc_sasa,AbStruc_schains_sasa,AbStruc_lauer_SAP,AbStruc_lauer_DI,AbStruc_free_cys,AbStruc_cys_bridges,AbStruc_pcharge_hetrgen,AbStruc_ncharge_hetrgen,AbStruc_plane_group_interactions,AbStruc_folded_pI,AbStruc_unfolded_pI
Tinurilimab,48,7,13,0,54,0,10,117,9,0,8820,1,20,31,56,8717,65,41,0,2,4.304538548752834,179,666,20,-82.31553649902344,18,266,8174,107.24090576171876,144,397,228,14.4,8.06,8.15,10194.981509246953,7986.761596689495,28.47571972387821,27.81149472387821,4,2,5.355442289547148,5.605969653160534,20,10,10
Torudokimab,54,9,6,0,36,2,5,115,9,0,8712,4,20,33,57,8643,45,47,0,2,4.309858815426997,182,605,27,-79.83939361572266,9,250,8162,102.44287109375,138,341,247,8.29,5.56,5.86,10708.343001237654,8003.99373910228,26.58074800896312,26.10315800896312,4,2,5.368154196232488,4.730090414103242,15,9.84,9.44
Tosatoxumab,50,8,8,5,44,7,10,111,12,0,8697,4,17,36,33,8609,60,42,0,2,4.299059445785903,181,541,15,-86.13201904296875,12,251,8060,94.911224365234375,137,410,252,21.79,4.64,4.28,10645.409476862373,8052.341703104699,27.93738872302227,27.58856872302227,4,2,4.767167764209867,4.742002894584173,16,9.67,9.4
Bentracimab,54,5,14,5,44,0,9,111,9,0,8491,5,12,40,29,8403,58,53,0,1,4.303014957013309,179,538,12,-82.89025115966797,11,238,7904,96.68729400634766,127,371,234,19.21,0.4,0.92,11245.945109496251,8513.76889058814,30.919097324146776,30.844117324146776,4,2,5.179296207866871,4.089165774018027,19,7.6,7.4
Tusamitamab,55,6,6,0,45,2,9,115,12,0,8701,5,15,30,44,8617,60,52,0,3,4.298089874727043,195,622,23,-81.72684478759766,12,277,8080,98.25243377685548,128,406,241,-0.69,2.31,2.02,10502.567265568545,7984.182568755352,28.19682620859547,28.032196208595472,4,2,6.176814908821779,4.678945626387154,12,8.6,8.5
Uliledlimab,51,5,13,0,49,2,8,111,6,0,8958,4,27,31,62,8863,62,50,0,2,4.278553248492967,187,643,24,-80.572113037109375,15,267,8201,94.997802734375,170,490,262,17.88,3.08,4.62,10552.031369851116,8102.285615379154,28.609970149215883,28.233440149215884,4,2,5.965957885365355,5.440584363136466,18,9.29,8.85
Benufutamab,46,7,9,0,41,2,7,118,12,0,8478,3,16,33,16,8403,51,37,0,2,4.310352677518282,183,614,12,-81.39421844482422,8,252,7912,97.071136474609375,136,353,213,15.04,4.32,4.15,10645.690894353902,8292.950840371797,27.66917600919684,27.33095100919684,4,2,5.83618226385016,4.538611843911059,16,9.24,9.18
Vantictumab,48,17,5,3,39,2,6,109,12,0,8504,2,18,33,47,8423,48,53,0,2,4.314763640639699,187,556,22,-85.86814880371094,11,248,7975,94.595062255859375,119,327,243,5.72,0.4,0.14,10558.987159964216,8011.924990745528,28.450555012781024,28.439145012781022,4,2,3.971802754257512,4.089239387042477,22,7.2,7.4
Varisacumab,63,10,6,0,50,1,5,110,9,0,8354,10,22,29,11,8270,65,45,0,2,4.285345942063682,172,565,21,-84.07124328613281,3,241,7708,91.9124526977539,137,423,236,8.83,1.84,2.69,11412.581613222088,8674.522226758414,30.428789646796456,30.20955464679645,4,2,5.368924144949538,3.7890678143671055,16,8.66,8.52
Berlimatoxumab,49,10,6,0,37,0,6,116,6,0,8824,5,20,35,61,8746,48,49,0,1,4.28989800543971,191,614,18,-82.61284637451172,14,257,8182,96.91594696044922,137,426,232,12.21,5.07,6.75,10258.570933868396,7881.118783628809,27.67448710527325,27.124362105273253,4,2,5.792431604156189,5.574858263836693,16,9.63,9.34
Visilizumab,50,9,7,1,48,5,11,119,12,0,8246,7,14,30,48,8147,67,43,0,3,4.310058210041233,175,506,21,-80.977447509765625,16,242,7690,99.9438018798828,122,332,203,12.11,7.3,6.82,10778.516465558318,8336.381778026871,28.636574105345105,28.080744105345104,4,2,5.862504659295839,4.331560269692523,16,9.8,9.5
Volagidemab,56,10,8,0,57,4,9,114,12,4,9152,3,17,32,29,9057,71,46,0,2,4.299409965034965,194,597,30,-84.86805725097656,6,275,8508,96.16129302978516,146,401,240,15.1,6.55,7.18,11055.56619970834,8563.609078337462,27.66398982539749,27.07881982539749,4,2,5.894574872477695,4.766562653275653,18,9.8,9.5
Xentuzumab,50,12,6,5,32,2,7,109,12,0,8593,5,15,34,42,8521,45,43,0,2,4.307251251018271,198,536,25,-83.47820281982422,9,278,8061,94.58354949951172,132,326,214,4.61,3.16,3.18,10639.855456937,8075.312431105182,29.82447823195775,29.56530823195775,4,2,4.338552447337728,4.154709668370569,18,9.37,9.13
Zagotenemab,51,10,9,0,51,6,12,112,9,0,9155,3,28,28,22,9064,67,44,0,2,4.292403058438012,179,672,29,-84.76448059082031,5,252,8491,96.135101318359375,157,414,248,31.41,4.33,6.3,10656.975966059284,8209.424459492917,26.19140519616929,25.677955196169293,4,2,5.628737571064793,5.661967914564541,19,9.5,9.2
Zalutumumab,58,9,6,1,57,3,7,111,12,0,9090,3,25,24,65,8992,68,55,0,1,4.295749174917491,188,678,24,-86.42601013183594,15,262,8405,97.624267578125,148,438,222,17.92,2.16,3.46,10764.323803766809,8224.652810841631,27.41588126221872,27.13389126221872,4,2,5.574420040817111,4.896681745401645,15,9.22,8.84
Zatuximab,51,11,8,0,53,4,10,109,12,0,8871,9,22,35,23,8770,73,47,0,2,4.292343591477849,192,544,26,-82.7943344116211,9,290,8197,89.9065170288086,154,417,231,7.08,0.55,-0.12,10739.97855687516,8315.33551004113,25.954593077237348,25.964373077237347,4,2,5.702255888780563,4.357747005734975,19,6.86,7.34
Zolbetuximab,52,6,10,7,53,2,13,110,12,0,9057,5,17,32,53,8952,71,44,0,2,4.309246991277464,188,576,19,-83.58220672607422,18,268,8431,99.1243133544922,163,356,230,11.43,4.83,5.38,10658.686083743827,8331.266091260428,27.137422675140147,26.69895267514015,4,2,5.198952002014102,4.990930175151409,16,9.28,9.24
Bimagrumab,56,6,9,7,48,1,8,99,15,0,8384,8,11,36,31,8288,64,50,0,2,4.315048902671755,179,535,17,-82.20802307128906,17,258,7834,100.86382293701172,129,323,203,8.88,8.06,7.75,10278.469261458826,7677.740868886858,27.698044482190333,27.066419482190337,4,2,4.271771423500591,4.178598947727864,15,10,10
Blosozumab,51,7,8,0,38,0,3,112,12,0,8285,7,21,29,97,8188,48,34,0,2,4.298098974049487,174,574,17,-84.6693344116211,34,236,7657,100.33999633789062,130,399,219,16.64,-0.68,-0.28,10785.169280154812,8390.159663922343,27.680626610773757,27.703446610773756,4,2,5.581053589966928,4.0559055508357975,15,7,7
Bococizumab,53,4,11,0,32,4,9,114,12,0,8545,8,15,31,24,8470,50,51,0,2,4.298464599180807,179,567,31,-81.10887145996094,10,244,7935,97.45465850830078,144,389,220,21.21,10.07,10.3,10841.996184105908,8509.327954939274,28.043887859950956,27.204437859950957,4,2,5.7484640175123545,5.211087878937119,15,10,10
Brontictuzumab,52,5,9,0,44,1,9,119,15,0,8733,11,12,31,95,8630,64,52,0,2,4.2891686705599446,181,630,25,-76.13580322265625,25,263,8028,99.6004867553711,137,463,214,9.24,5.17,5.97,10459.745798990616,7762.83665602371,26.32933568053963,25.84278068053963,4,2,4.0534169487630445,4.356079637147611,14,10.03,9.47
Canakinumab,49,13,9,0,48,4,6,116,9,0,8788,4,17,33,40,8694,60,47,0,2,4.311093536640874,195,620,34,-82.26116943359375,12,263,8249,99.2531280517578,119,324,226,13.71,3.31,2.24,10365.10835583598,7992.612587874158,26.279548123090414,26.09698812309042,4,2,6.3659290740528425,4.912035467814755,22,8.41,8.93
Carotuximab,49,12,9,1,50,6,9,112,9,0,8462,6,17,32,28,8359,67,47,0,2,4.304571023398724,185,558,23,-81.67864990234375,15,251,7849,90.05183410644531,145,363,199,23.63,5.41,7.23,10476.67260103196,7934.938328510954,27.645100827870543,27.055855827870545,4,2,5.327320269095344,5.504458712598193,21,9.8,9.6
Cemiplimab,50,12,8,1,44,1,7,110,9,0,8626,3,17,33,33,8542,54,48,0,2,4.304385578483654,186,608,22,-80.898651123046875,10,254,8028,98.1899871826172,139,373,224,6.23,2.16,2.26,10059.56435162662,7746.09745911934,27.32122492125234,27.13703492125234,4,2,4.605862468106643,4.605532145989263,20,9.12,8.99
Cendakimab,48,11,10,0,48,0,7,117,9,0,8880,6,23,32,29,8790,61,48,0,0,4.311477477477477,195,619,34,-84.2571792602539,8,263,8308,103.07596588134766,134,348,237,16.22,7.3,8.17,10215.679339469949,8054.746830942001,27.81988462966803,27.15402962966803,4,2,4.9144535457584775,5.307728969026831,21,9.8,9.6
Cinpanemab,54,17,8,4,46,1,8,100,15,0,8248,5,16,32,18,8160,59,42,0,2,4.315339476236663,184,503,18,-80.4448013305664,4,261,7724,96.93848419189452,126,308,212,4.27,-3.67,-3.8,10645.792294801604,8132.971710820907,27.21462556572917,27.524325565729168,4,2,4.603239256025611,4.067157122555046,25,5.4,5.3
Crotedumab,54,9,12,1,31,5,8,119,12,0,9321,5,18,30,61,9249,45,52,0,1,4.293536101276687,205,644,27,-86.45982360839844,6,284,8638,95.5589828491211,144,466,239,21.68,0.82,1.91,10541.341963661896,8104.670614098985,27.347856950432693,27.192191950432697,4,2,4.96481229363395,4.820643264514494,21,8.31,7.8
Crovalimab,62,3,6,1,43,0,7,108,9,0,8091,5,19,33,30,8020,55,30,0,2,4.315045111852676,175,514,23,-77.203033447265625,7,240,7638,90.716796875,123,257,209,7.57,3.55,3.16,10865.919639348233,8197.906822962286,28.71368726768524,28.456147267685235,4,2,5.464045303790166,4.47638778433167,9,8.53,8.9
Cudarolimab,52,15,10,0,42,2,4,119,9,0,8645,4,19,31,48,8558,51,41,0,2,4.315230769230769,198,598,23,-84.08782196044922,11,270,8113,98.42037200927734,131,312,218,13.1,2.31,2.45,10839.099736540422,8287.646941660987,26.797705383402366,26.598030383402367,4,2,5.715216705900828,4.819809611972711,25,8.52,8.49
Daratumumab,56,18,7,0,41,4,6,113,15,0,8803,4,22,23,38,8717,52,48,0,2,4.3071770987163465,192,626,31,-80.15849304199219,9,257,8252,98.21137237548828,122,341,224,18.71,2.84,3.24,10382.54819176245,7855.34928778471,27.533285813604504,27.269225813604503,4,2,5.051431379842911,5.088093743831374,25,9.01,9.01
Datopotamab,58,2,14,1,38,1,7,109,9,0,8374,3,16,34,53,8301,48,45,0,2,4.30865416766181,185,598,21,-83.12687683105469,9,250,7798,100.40129089355467,126,375,207,0.26,6.31,5.74,10610.967264205614,8143.174161202972,28.2330649975222,27.7652549975222,4,2,5.5016168050549945,4.5664102994469244,16,9.73,9.44
Daxdilimab,54,14,10,3,38,1,9,105,15,0,8394,7,15,37,23,8308,54,49,0,2,4.315745770788659,184,545,19,-83.46941375732422,8,254,7846,99.55193328857422,135,325,210,7.93,5.06,5.67,10567.645764158766,7941.136178118713,27.7565284360709,27.2944234360709,4,2,4.343563794903845,4.192296875081772,24,9.64,9.37
Demupitamab,44,10,10,0,50,0,3,120,9,0,8571,1,19,34,53,8478,54,48,0,1,4.306415820791039,191,643,23,-84.4234390258789,19,259,8016,99.282318115234375,135,326,231,12.26,0.53,1.17,10279.076659042874,7876.26717177832,27.422496505721927,27.32714150572193,4,2,5.541313569582164,5.347042714226348,20,7.64,7.31
Domagrozumab,51,17,6,0,46,3,5,111,15,0,8325,6,21,25,38,8232,58,44,0,2,4.307835435435435,180,548,22,-84.1968765258789,12,243,7758,95.66146087646484,131,341,216,6.66,5.06,4.95,10234.982961686625,7756.607421375087,27.2745573016257,26.8711323016257,4,2,5.220240325715818,4.7760058229149385,23,9.4,9.3
Dusigitumab,62,8,9,4,43,2,9,101,18,0,8776,11,15,29,9,8689,64,53,0,1,4.29197128532361,185,505,21,-83.97815704345703,6,273,8127,96.39691925048828,149,412,243,23.94,3.14,4.97,10731.347905381495,8163.324375243272,29.30870016101889,28.90364516101889,4,2,4.6706527417678405,4.876641035285147,17,9.5,8.9
Emactuzumab,51,4,10,0,37,0,3,115,9,0,8414,6,15,32,15,8349,46,48,0,2,4.301879011171857,183,558,24,-84.38286590576172,5,251,7827,102.36803436279295,140,380,227,12.6,3.83,5.64,10293.71299436305,7996.397168312667,25.49919886896348,25.03953886896348,4,2,5.4896364517961285,5.047355608447692,14,9.34,9.17
Alomfilimab,51,9,8,1,46,3,7,113,15,4,9000,3,21,26,63,8911,57,47,0,1,4.305704444444445,202,574,22,-82.08098602294922,15,278,8407,94.3722915649414,130,373,220,24.08,0.32,1.31,10656.0943017741,8156.330396317779,24.690626560179425,24.583861560179425,4,2,5.2501809573541705,4.595374546727217,17,7.91,7.24
Emibetuzumab,51,3,7,1,45,4,10,108,12,0,8529,8,19,32,31,8441,65,49,0,3,4.291517176691288,180,568,23,-83.33589172363281,13,254,7876,102.33765411376952,136,426,242,9.8,7.31,6.71,10347.340378211997,7877.6595009872735,26.36170646736144,25.81484146736144,4,2,6.140499430876877,4.291484953911652,10,9.9,9.6
Enibarcimab,48,12,7,2,55,0,7,117,12,0,8957,3,17,33,65,8861,65,45,0,1,4.302014067210004,185,637,27,-80.78340911865234,12,256,8325,101.10308074951172,130,405,226,21.65,1.17,5.16,10714.25940763714,8111.498809712847,26.919884111045317,26.49934411104532,4,2,4.7862960626238,5.133089200204247,19,9.43,8.29
Enoticumab,50,10,10,0,49,2,10,113,15,0,9271,4,21,30,40,9173,64,38,0,2,4.292075288534139,208,583,37,-81.94234466552734,14,297,8600,96.43448638916016,145,426,268,21.49,3.57,3.4,10483.457720284036,8018.362318941198,26.620710574937497,26.343610574937497,4,2,5.866588511065605,4.964301158921482,20,9.11,8.96
Etaracizumab,48,12,9,0,38,2,6,115,12,0,8706,4,18,30,35,8627,49,39,0,2,4.306123363197796,206,585,26,-83.27758026123047,9,286,8130,94.92242431640624,142,353,233,14.49,6.56,5.21,10066.928385134564,7520.065325274265,25.38548964049884,24.96087464049884,4,2,6.153015544153559,4.583173246718292,21,10,10
Etokimab,50,7,7,2,46,1,10,114,12,0,8651,7,17,33,56,8559,63,49,0,1,4.3020483181135125,177,596,11,-85.7552719116211,15,246,8037,98.4070053100586,139,382,234,8.33,10.31,9.45,10824.616544148012,8434.69801756914,28.61076321832483,27.840588218324832,4,2,5.426790359094428,4.113730210096186,14,10.09,9.8
Evinacumab,59,10,7,0,40,1,7,118,6,0,8791,4,13,37,42,8711,51,51,0,2,4.31277897850074,185,605,23,-82.50341796875,12,259,8229,101.79833221435548,106,374,226,17.55,2.83,3.99,11042.19844509572,8424.03928325483,28.7114579333565,28.386272933356494,4,2,4.9778684362034085,4.58588587820978,17,9,9
Ezabenlimab,48,13,9,0,37,1,6,123,12,0,8973,9,17,31,63,8888,52,45,0,3,4.296517329767079,196,638,33,-83.6792221069336,11,266,8307,100.32032775878906,151,427,259,5.32,3.08,3.01,10871.307698540371,8125.054122154232,27.42155402585807,27.17623902585807,4,2,5.371064127800542,4.549774127179084,22,9.13,8.89
Alsevalimab,52,5,6,0,37,2,6,113,12,0,8551,0,26,24,50,8481,44,49,0,2,4.291811484036955,190,623,18,-80.074493408203125,15,255,7929,98.38896942138672,127,423,230,7.31,6.07,6.32,10545.009007527302,8032.4317747599835,28.6883607053583,28.173280705358295,4,2,5.340385080921929,5.7605191581703545,11,9.84,9.49
Farletuzumab,61,8,8,1,43,6,8,112,15,0,8448,6,17,23,40,8355,60,52,2,6,4.2880267518939394,173,569,13,-74.26634979248047,17,255,7798,100.37549591064452,129,420,195,7.47,4.31,3.87,11742.768111013182,8694.583526811948,31.035887915662563,30.720482915662565,4,2,6.454445075537972,4.431118487909685,16,9.5,9.16
Fianlimab,48,10,10,0,39,2,8,119,12,0,8927,8,22,28,16,8841,56,38,0,2,4.3074493110787495,197,579,27,-84.45283508300781,10,280,8340,95.60041809082033,134,365,238,12.55,6.07,5.67,10634.735843702369,8098.599976612791,27.366392519132944,26.904287519132943,4,2,5.535302987444674,4.7370859336247,20,9.75,9.49
Fibatuzumab,49,15,6,3,37,3,8,112,12,0,8804,8,16,33,48,8714,54,52,0,2,4.285821217628351,181,597,28,-82.51063537597656,15,259,8120,98.53778839111328,159,433,237,23.63,2.83,4.9,10378.390092288597,8056.9769142649875,27.545408415713595,27.1460584157136,4,2,5.633821705444973,4.778151150406152,21,9.32,8.82
Figitumumab,52,7,11,0,42,3,4,117,15,0,8996,7,21,27,38,8915,54,48,0,2,4.299360827034237,201,625,24,-82.74266052246094,9,279,8344,97.5676498413086,139,430,223,19.17,6.3,5.9,10857.033571225322,8304.52824486095,26.855883021643216,26.375033021643212,8,2,5.424453181447379,4.921887450295071,18,9.5,9.4
Firivumab,47,8,8,0,41,0,7,120,9,0,8342,5,20,33,6,8270,53,54,0,2,4.307224886118438,186,505,25,-82.74932861328125,3,258,7805,95.77948760986328,127,336,227,7.86,4.32,3.81,11008.87580768482,8427.807249795176,30.30720017757772,29.99668517757772,4,2,5.052900934983595,4.751995056398319,16,9.7,9.4
Amatuximab,47,8,6,1,48,6,10,118,12,0,8317,8,18,28,29,8222,68,46,0,1,4.319216063484429,190,524,29,-82.09953308105469,13,260,7803,103.36341094970705,122,296,194,7.12,4.55,4,10442.049045040414,7889.03486844261,26.79021659070108,26.46421659070108,4,2,5.4009629545283495,4.424303237275974,14,9.01,9.1
Fletikumab,60,7,9,5,35,0,3,112,3,0,8486,8,21,33,16,8418,46,42,0,1,4.298551732264907,173,552,18,-82.5350570678711,6,234,7877,95.30382537841795,132,408,230,18.86,1.32,1.25,11297.697766289664,8721.076228161277,28.48014867382382,28.37827367382382,4,2,5.919690547801348,5.399269730578876,16,8,8
Fremanezumab,54,16,9,0,41,1,7,110,12,0,8711,2,22,31,20,8627,50,45,0,1,4.305084376076226,189,583,29,-82.13230895996094,9,263,8141,94.6956558227539,110,375,193,10.49,3.08,3.03,10638.80234933446,8257.261670588192,29.115931634016786,28.868986634016785,4,2,4.48456017565557,4.73531020688977,25,9.08,8.84
Galiximab,54,8,9,5,48,0,8,110,9,0,9216,0,16,41,66,9127,56,46,0,2,4.281294487847222,194,643,15,-83.08428192138672,16,283,8489,95.93744659423828,146,490,244,9.18,3.06,2.9,10241.552813187103,7590.795768439595,29.915079733526863,29.67872973352686,4,2,5.596355415565884,5.608048802549909,17,9.1,8.92
Gantenerumab,57,13,7,0,49,6,10,113,15,4,9457,7,19,25,22,9364,68,44,0,2,4.2846536956751615,201,667,34,-83.04119873046875,5,281,8711,96.82575225830078,163,488,270,10.3,8.07,7.87,10519.196533167578,7961.247152777434,27.15413308734849,26.512728087348496,4,2,4.5317693075564165,4.582570255060735,20,10.05,9.73
Geptanolimab,46,11,7,1,44,7,8,117,15,0,7994,6,18,27,13,7912,60,38,0,2,4.313952964723542,167,541,22,-82.6683120727539,4,230,7470,103.1513214111328,130,310,205,12.19,3.83,4.9,11153.126380753709,8738.472468220612,30.75761353876605,30.358263538766053,4,2,5.636316418139709,4.389535817540657,18,9.43,9.19
Ianalumab,48,12,16,2,43,2,8,123,9,0,9078,0,19,30,35,8986,52,44,0,1,4.303733201145627,190,655,37,-81.73246765136719,12,267,8457,102.49651336669922,119,409,225,0.78,6.83,6.77,10867.027649738744,8577.579102131785,30.096399213420177,29.544644213420177,4,2,5.323026155758836,4.81312422642934,28,10.11,9.65
