subset_threshold, dominating_set, doublets, isolated_nodes
AbStruc_fv_IgM_mouse_0.1,"'AbStruc_pcharge_hetrgen', 'AbStruc_hbonds', 'AbStruc_amide_ring_interactions', 'AbStruc_steric_clashes', 'AbStruc_psi_angle', 'AbStruc_phi_angle'","","'AbStruc_weak_hbonds', 'AbStruc_free_cys', 'AbStruc_cys_bridges'"
AbStruc_fv_IgM_mouse_0.2,"'AbStruc_alpha_helices', 'AbStruc_phi_angle', 'AbStruc_beta_bends', 'AbStruc_steric_clashes', 'AbStruc_loops', 'AbStruc_psi_angle', 'AbStruc_folding_energy', 'AbStruc_carbon_pi_interactions', 'AbStruc_hbonds'","","'AbStruc_weak_hbonds', 'AbStruc_free_cys', 'AbStruc_cys_bridges'"
AbStruc_fv_IgM_mouse_0.3,"'AbStruc_unfolded_charge', 'AbStruc_threeten_helices', 'AbStruc_loops', 'AbStruc_carbonyl_interactions', 'AbStruc_plane_plane_interactions', 'AbStruc_plane_group_interactions', 'AbStruc_cation_pi_interactions'","","'AbStruc_beta_bridges', 'AbStruc_alpha_helices', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_hbonds', 'AbStruc_ibonds', 'AbStruc_phi_angle', 'AbStruc_psi_angle', 'AbStruc_weak_hbonds', 'AbStruc_folding_energy', 'AbStruc_free_cys', 'AbStruc_cys_bridges', 'AbStruc_pcharge_hetrgen'"
AbStruc_fv_IgM_mouse_0.4,"'AbStruc_hydrophobic_interactions', 'AbStruc_plane_group_interactions', 'AbStruc_folded_charge', 'AbStruc_metsulphur_pi_interactions', 'AbStruc_sasa', 'AbStruc_carbonyl_interactions'","{'AbStruc_loops', 'AbStruc_beta_strands'}, {'AbStruc_beta_turns', 'AbStruc_threeten_helices'}","'AbStruc_beta_bridges', 'AbStruc_alpha_helices', 'AbStruc_beta_bends', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_hbonds', 'AbStruc_ibonds', 'AbStruc_phi_angle', 'AbStruc_psi_angle', 'AbStruc_weak_hbonds', 'AbStruc_folding_energy', 'AbStruc_free_cys', 'AbStruc_cys_bridges', 'AbStruc_pcharge_hetrgen', 'AbStruc_ncharge_hetrgen'"
AbStruc_fv_IgM_mouse_0.5,"'AbStruc_metsulphur_pi_interactions', 'AbStruc_folded_charge', 'AbStruc_plane_group_interactions', 'AbStruc_cation_pi_interactions', 'AbStruc_mean_interaction_distance', 'AbStruc_lauer_SAP', 'AbStruc_carbon_pi_interactions', 'AbStruc_vdw_clashes'","{'AbStruc_loops', 'AbStruc_beta_strands'}, {'AbStruc_beta_turns', 'AbStruc_threeten_helices'}, {'AbStruc_aromatic_interactions', 'AbStruc_plane_plane_interactions'}","'AbStruc_beta_bridges', 'AbStruc_alpha_helices', 'AbStruc_beta_bends', 'AbStruc_carbonyl_interactions', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_hbonds', 'AbStruc_ibonds', 'AbStruc_phi_angle', 'AbStruc_psi_angle', 'AbStruc_weak_hbonds', 'AbStruc_folding_energy', 'AbStruc_free_cys', 'AbStruc_cys_bridges', 'AbStruc_pcharge_hetrgen', 'AbStruc_ncharge_hetrgen'"
AbStruc_fv_IgM_mouse_0.6,"'AbStruc_lauer_SAP', 'AbStruc_cation_pi_interactions', 'AbStruc_schains_sasa', 'AbStruc_vdw_clashes', 'AbStruc_mean_interaction_distance', 'AbStruc_plane_group_interactions', 'AbStruc_folded_charge', 'AbStruc_pbonds', 'AbStruc_amide_ring_interactions', 'AbStruc_carbon_pi_interactions', 'AbStruc_metsulphur_pi_interactions'","{'AbStruc_beta_turns', 'AbStruc_threeten_helices'}, {'AbStruc_aromatic_interactions', 'AbStruc_plane_plane_interactions'}","'AbStruc_loops', 'AbStruc_beta_bridges', 'AbStruc_beta_strands', 'AbStruc_alpha_helices', 'AbStruc_beta_bends', 'AbStruc_carbonyl_interactions', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_hbonds', 'AbStruc_ibonds', 'AbStruc_phi_angle', 'AbStruc_psi_angle', 'AbStruc_vdw_interactions', 'AbStruc_weak_hbonds', 'AbStruc_folding_energy', 'AbStruc_free_cys', 'AbStruc_cys_bridges', 'AbStruc_pcharge_hetrgen', 'AbStruc_ncharge_hetrgen'"
AbStruc_fv_IgM_mouse_0.7,"'AbStruc_atom_plane_sum', 'AbStruc_pbonds', 'AbStruc_folded_charge', 'AbStruc_weak_pbonds'","{'AbStruc_plane_group_interactions', 'AbStruc_amide_amide_interactions'}, {'AbStruc_aromatic_interactions', 'AbStruc_plane_plane_interactions'}, {'AbStruc_mean_interaction_distance', 'AbStruc_vdw_clashes'}, {'AbStruc_schains_sasa', 'AbStruc_sasa'}, {'AbStruc_lauer_DI', 'AbStruc_lauer_SAP'}","'AbStruc_loops', 'AbStruc_amide_ring_interactions', 'AbStruc_beta_bridges', 'AbStruc_cation_pi_interactions', 'AbStruc_beta_strands', 'AbStruc_threeten_helices', 'AbStruc_alpha_helices', 'AbStruc_beta_bends', 'AbStruc_beta_turns', 'AbStruc_carbonyl_interactions', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_hbonds', 'AbStruc_hydrophobic_interactions', 'AbStruc_ibonds', 'AbStruc_phi_angle', 'AbStruc_psi_angle', 'AbStruc_vdw_interactions', 'AbStruc_weak_hbonds', 'AbStruc_folding_energy', 'AbStruc_free_cys', 'AbStruc_cys_bridges', 'AbStruc_pcharge_hetrgen', 'AbStruc_ncharge_hetrgen'"
AbStruc_fv_IgM_mouse_0.8,"'AbStruc_pbonds', 'AbStruc_folded_charge'","{'AbStruc_plane_group_interactions', 'AbStruc_amide_amide_interactions'}, {'AbStruc_atom_plane_sum', 'AbStruc_carbon_pi_interactions'}, {'AbStruc_mean_interaction_distance', 'AbStruc_vdw_clashes'}, {'AbStruc_schains_sasa', 'AbStruc_sasa'}, {'AbStruc_lauer_DI', 'AbStruc_lauer_SAP'}","'AbStruc_loops', 'AbStruc_amide_ring_interactions', 'AbStruc_beta_bridges', 'AbStruc_cation_pi_interactions', 'AbStruc_donor_pi_interactions', 'AbStruc_beta_strands', 'AbStruc_threeten_helices', 'AbStruc_alpha_helices', 'AbStruc_metsulphur_pi_interactions', 'AbStruc_beta_bends', 'AbStruc_beta_turns', 'AbStruc_aromatic_interactions', 'AbStruc_carbonyl_interactions', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_hbonds', 'AbStruc_hydrophobic_interactions', 'AbStruc_ibonds', 'AbStruc_phi_angle', 'AbStruc_plane_plane_interactions', 'AbStruc_psi_angle', 'AbStruc_vdw_interactions', 'AbStruc_weak_hbonds', 'AbStruc_weak_pbonds', 'AbStruc_folding_energy', 'AbStruc_free_cys', 'AbStruc_cys_bridges', 'AbStruc_pcharge_hetrgen', 'AbStruc_ncharge_hetrgen'"
AbStruc_fv_IgM_mouse_0.9,"'AbStruc_folded_charge', 'AbStruc_proximal_interactions'","{'AbStruc_schains_sasa', 'AbStruc_sasa'}, {'AbStruc_lauer_DI', 'AbStruc_lauer_SAP'}","'AbStruc_loops', 'AbStruc_amide_amide_interactions', 'AbStruc_amide_ring_interactions', 'AbStruc_beta_bridges', 'AbStruc_carbon_pi_interactions', 'AbStruc_cation_pi_interactions', 'AbStruc_donor_pi_interactions', 'AbStruc_beta_strands', 'AbStruc_threeten_helices', 'AbStruc_alpha_helices', 'AbStruc_metsulphur_pi_interactions', 'AbStruc_beta_bends', 'AbStruc_beta_turns', 'AbStruc_aromatic_interactions', 'AbStruc_atom_plane_sum', 'AbStruc_carbonyl_interactions', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_mean_interaction_distance', 'AbStruc_hbonds', 'AbStruc_hydrophobic_interactions', 'AbStruc_ibonds', 'AbStruc_phi_angle', 'AbStruc_plane_plane_interactions', 'AbStruc_pbonds', 'AbStruc_psi_angle', 'AbStruc_vdw_interactions', 'AbStruc_vdw_clashes', 'AbStruc_weak_hbonds', 'AbStruc_weak_pbonds', 'AbStruc_folding_energy', 'AbStruc_free_cys', 'AbStruc_cys_bridges', 'AbStruc_pcharge_hetrgen', 'AbStruc_ncharge_hetrgen', 'AbStruc_plane_group_interactions'"
AbChain_fv_IgA_human_0.1,"'AbChain_immunopeptide_regions_span', 'AbChain_instaindex', 'AbChain_length', 'AbChain_solubility'","",""
AbChain_fv_IgA_human_0.2,"'AbChain_14_charge', 'AbChain_num_weak_binders'","","'AbChain_immunopeptide_regions_span'"
AbChain_fv_IgA_human_0.3,"'AbChain_aromatic_content', 'AbChain_full_average_rank', 'AbChain_nonpolar_content', 'AbChain_13_charge'","","'AbChain_solubility', 'AbChain_instaindex', 'AbChain_immunopeptide_regions_span'"
AbChain_fv_IgA_human_0.4,"'AbChain_aromatic_content', 'AbChain_acidic_content', 'AbChain_aliphindex', 'AbChain_hydrophobicity', 'AbChain_length', 'AbChain_min_rank'","{'AbChain_cysbridges_molextcoef', 'AbChain_cysbridges_percenextcoef'}","'AbChain_solubility', 'AbChain_instaindex', 'AbChain_immunopeptide_regions_span'"
AbChain_fv_IgA_human_0.5,"'AbChain_small_content', 'AbChain_aromatic_content', 'AbChain_6_charge', 'AbChain_nonpolar_content', 'AbChain_length', 'AbChain_num_strong_binders'","{'AbChain_molextcoef', 'AbChain_percentextcoef'}, {'AbChain_cysbridges_molextcoef', 'AbChain_cysbridges_percenextcoef'}, {'AbChain_aliphindex', 'AbChain_aliphatic_content'}","'AbChain_hmom', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_immunopeptide_regions_span'"
AbChain_fv_IgA_human_0.6,"'AbChain_12_charge', 'AbChain_acidic_content', 'AbChain_3_charge', 'AbChain_num_strong_binders', 'AbChain_small_content'","{'AbChain_length', 'AbChain_mw'}, {'AbChain_molextcoef', 'AbChain_percentextcoef'}, {'AbChain_cysbridges_molextcoef', 'AbChain_cysbridges_percenextcoef'}, {'AbChain_aliphindex', 'AbChain_aliphatic_content'}, {'AbChain_polar_content', 'AbChain_nonpolar_content'}","'AbChain_aromatic_content', 'AbChain_hmom', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_min_rank', 'AbChain_immunopeptide_regions_span'"
AbChain_fv_IgA_human_0.7,"'AbChain_hydrophobicity', 'AbChain_4_charge', 'AbChain_num_weak_binders', 'AbChain_14_charge', 'AbChain_av_resdiue_weight'","{'AbChain_length', 'AbChain_mw'}, {'AbChain_molextcoef', 'AbChain_percentextcoef'}, {'AbChain_cysbridges_molextcoef', 'AbChain_cysbridges_percenextcoef'}, {'AbChain_aliphindex', 'AbChain_aliphatic_content'}, {'AbChain_polar_content', 'AbChain_nonpolar_content'}","'AbChain_aromatic_content', 'AbChain_hmom', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_min_rank', 'AbChain_acidic_content', 'AbChain_immunopeptide_regions_span'"
AbChain_fv_IgA_human_0.8,"'AbChain_pI', 'AbChain_14_charge', 'AbChain_basic_content'","{'AbChain_length', 'AbChain_mw'}, {'AbChain_molextcoef', 'AbChain_percentextcoef'}, {'AbChain_cysbridges_molextcoef', 'AbChain_cysbridges_percenextcoef'}, {'AbChain_aliphindex', 'AbChain_aliphatic_content'}, {'AbChain_num_weak_binders', 'AbChain_full_average_rank'}, {'AbChain_polar_content', 'AbChain_nonpolar_content'}","'AbChain_av_resdiue_weight', 'AbChain_aromatic_content', 'AbChain_hydrophobicity', 'AbChain_hmom', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_min_rank', 'AbChain_num_strong_binders', 'AbChain_tiny_content', 'AbChain_small_content', 'AbChain_acidic_content', 'AbChain_immunopeptide_regions_span'"
AbChain_fv_IgA_human_0.9,"'AbChain_3_charge', 'AbChain_12_charge', 'AbChain_pI'","{'AbChain_length', 'AbChain_mw'}, {'AbChain_molextcoef', 'AbChain_percentextcoef'}, {'AbChain_cysbridges_molextcoef', 'AbChain_cysbridges_percenextcoef'}, {'AbChain_polar_content', 'AbChain_nonpolar_content'}","'AbChain_av_resdiue_weight', 'AbChain_aromatic_content', 'AbChain_hydrophobicity', 'AbChain_hmom', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_aliphindex', 'AbChain_min_rank', 'AbChain_num_strong_binders', 'AbChain_num_weak_binders', 'AbChain_full_average_rank', 'AbChain_tiny_content', 'AbChain_small_content', 'AbChain_aliphatic_content', 'AbChain_acidic_content', 'AbChain_immunopeptide_regions_span'"
AbChain_fv_IgD_human_0.1,"'AbChain_cysbridges_percenextcoef', 'AbChain_av_resdiue_weight'","",""
AbChain_fv_IgD_human_0.2,"'AbChain_aliphatic_content', 'AbChain_full_average_rank', 'AbChain_solubility', 'AbChain_immunopeptide_regions_span'","",""
AbChain_fv_IgD_human_0.3,"'AbChain_small_content', 'AbChain_aliphatic_content', 'AbChain_solubility', 'AbChain_acidic_content'","{'AbChain_cysbridges_molextcoef', 'AbChain_cysbridges_percenextcoef'}","'AbChain_immunopeptide_regions_span'"
AbChain_fv_IgD_human_0.4,"'AbChain_min_rank', 'AbChain_percentextcoef', 'AbChain_12_charge', 'AbChain_aliphindex', 'AbChain_nonpolar_content', 'AbChain_small_content'","{'AbChain_cysbridges_molextcoef', 'AbChain_cysbridges_percenextcoef'}","'AbChain_immunopeptide_regions_span'"
AbChain_fv_IgD_human_0.5,"'AbChain_aromatic_content', 'AbChain_num_strong_binders', 'AbChain_small_content', 'AbChain_pI', 'AbChain_nonpolar_content', 'AbChain_length'","{'AbChain_molextcoef', 'AbChain_percentextcoef'}, {'AbChain_cysbridges_molextcoef', 'AbChain_cysbridges_percenextcoef'}, {'AbChain_aliphindex', 'AbChain_aliphatic_content'}","'AbChain_solubility', 'AbChain_immunopeptide_regions_span'"
AbChain_fv_IgD_human_0.6,"'AbChain_10_charge', 'AbChain_small_content', 'AbChain_hydrophobicity', 'AbChain_num_strong_binders', 'AbChain_aromatic_content', 'AbChain_length'","{'AbChain_molextcoef', 'AbChain_percentextcoef'}, {'AbChain_cysbridges_molextcoef', 'AbChain_cysbridges_percenextcoef'}, {'AbChain_aliphindex', 'AbChain_aliphatic_content'}, {'AbChain_polar_content', 'AbChain_nonpolar_content'}","'AbChain_hmom', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_acidic_content', 'AbChain_immunopeptide_regions_span'"
AbChain_fv_IgD_human_0.7,"'AbChain_num_strong_binders', 'AbChain_10_charge', 'AbChain_basic_content'","{'AbChain_length', 'AbChain_mw'}, {'AbChain_molextcoef', 'AbChain_percentextcoef'}, {'AbChain_cysbridges_molextcoef', 'AbChain_cysbridges_percenextcoef'}, {'AbChain_aliphindex', 'AbChain_aliphatic_content'}, {'AbChain_polar_content', 'AbChain_nonpolar_content'}","'AbChain_av_resdiue_weight', 'AbChain_aromatic_content', 'AbChain_hmom', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_min_rank', 'AbChain_tiny_content', 'AbChain_small_content', 'AbChain_acidic_content', 'AbChain_immunopeptide_regions_span'"
AbChain_fv_IgD_human_0.8,"'AbChain_13_charge', 'AbChain_5_charge', 'AbChain_num_weak_binders', 'AbChain_basic_content'","{'AbChain_length', 'AbChain_mw'}, {'AbChain_molextcoef', 'AbChain_percentextcoef'}, {'AbChain_cysbridges_molextcoef', 'AbChain_cysbridges_percenextcoef'}, {'AbChain_polar_content', 'AbChain_nonpolar_content'}","'AbChain_av_resdiue_weight', 'AbChain_aromatic_content', 'AbChain_hmom', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_aliphindex', 'AbChain_min_rank', 'AbChain_tiny_content', 'AbChain_small_content', 'AbChain_aliphatic_content', 'AbChain_acidic_content', 'AbChain_immunopeptide_regions_span'"
AbChain_fv_IgD_human_0.9,"'AbChain_pI', 'AbChain_10_charge', 'AbChain_14_charge', 'AbChain_4_charge', 'AbChain_basic_content'","{'AbChain_length', 'AbChain_mw'}, {'AbChain_molextcoef', 'AbChain_percentextcoef'}, {'AbChain_cysbridges_molextcoef', 'AbChain_cysbridges_percenextcoef'}, {'AbChain_polar_content', 'AbChain_nonpolar_content'}","'AbChain_av_resdiue_weight', 'AbChain_aromatic_content', 'AbChain_hydrophobicity', 'AbChain_hmom', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_aliphindex', 'AbChain_min_rank', 'AbChain_num_strong_binders', 'AbChain_num_weak_binders', 'AbChain_full_average_rank', 'AbChain_tiny_content', 'AbChain_small_content', 'AbChain_aliphatic_content', 'AbChain_acidic_content', 'AbChain_immunopeptide_regions_span'"
AbChain_fv_IgE_human_0.1,"'AbChain_length', 'AbChain_solubility'","",""
AbChain_fv_IgE_human_0.2,"'AbChain_immunopeptide_regions_span', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_small_content'","",""
AbChain_fv_IgE_human_0.3,"'AbChain_solubility', 'AbChain_instaindex', 'AbChain_cysbridges_molextcoef', 'AbChain_percentextcoef', 'AbChain_nonpolar_content', 'AbChain_1_charge', 'AbChain_min_rank'","","'AbChain_immunopeptide_regions_span'"
AbChain_fv_IgE_human_0.4,"'AbChain_solubility', 'AbChain_instaindex', 'AbChain_aromatic_content', 'AbChain_nonpolar_content', 'AbChain_full_average_rank', 'AbChain_length', 'AbChain_1_charge'","{'AbChain_cysbridges_molextcoef', 'AbChain_cysbridges_percenextcoef'}","'AbChain_immunopeptide_regions_span'"
AbChain_fv_IgE_human_0.5,"'AbChain_12_charge', 'AbChain_hydrophobicity', 'AbChain_tiny_content', 'AbChain_length', 'AbChain_num_strong_binders', 'AbChain_molextcoef'","{'AbChain_cysbridges_molextcoef', 'AbChain_cysbridges_percenextcoef'}, {'AbChain_aliphindex', 'AbChain_aliphatic_content'}","'AbChain_solubility', 'AbChain_instaindex', 'AbChain_immunopeptide_regions_span'"
