PDB,AbStruc_loops,AbStruc_amide_amide_interactions,AbStruc_amide_ring_interactions,AbStruc_beta_bridges,AbStruc_carbon_pi_interactions,AbStruc_cation_pi_interactions,AbStruc_donor_pi_interactions,AbStruc_beta_strands,AbStruc_threeten_helices,AbStruc_alpha_helices,AbStruc_pi_helices,AbStruc_total_interactions,AbStruc_metsulphur_pi_interactions,AbStruc_beta_bends,AbStruc_beta_turns,AbStruc_aromatic_interactions,AbStruc_atom_atom_sum,AbStruc_atom_plane_sum,AbStruc_carbonyl_interactions,AbStruc_covbonds,AbStruc_mean_interaction_distance,AbStruc_hbonds,AbStruc_hydrophobic_interactions,AbStruc_ibonds,AbStruc_phi_angle,AbStruc_plane_plane_interactions,AbStruc_pbonds,AbStruc_proximal_interactions,AbStruc_psi_angle,AbStruc_vdw_interactions,AbStruc_vdw_clashes,AbStruc_weak_hbonds,AbStruc_weak_pbonds,AbStruc_folding_energy,AbStruc_unfolded_charge,AbStruc_folded_charge,AbStruc_sasa,AbStruc_schains_sasa,AbStruc_lauer_SAP,AbStruc_lauer_DI,AbStruc_free_cys,AbStruc_cys_bridges,AbStruc_pcharge_hetrgen,AbStruc_ncharge_hetrgen,AbStruc_plane_group_interactions,AbStruc_folded_pI,AbStruc_unfolded_pI
1A7R,50,7,6,1,49,3,8,112,9,0,0,8469,3,20,31,21,8387,61,57,2,4.3085441020191295,199,546,35,-81.85962677001953,8,274,7920,101.51075744628906,131,334,166,211,8.39,5.55,5.74,10345.92866557754,8001.196359016261,26.29879446373897,25.83098446373897,4,2,4.8953383203151715,4.843033698198374,13,9.52,9.36
1AD0,52,12,10,3,47,6,15,115,12,0,0,8904,4,19,25,33,8795,69,43,2,4.315700808625337,204,580,27,-81.68585968017578,18,271,8306,93.51551055908203,151,336,157,215,16.37,6.4,7.04,10456.231337793135,7974.135158594615,28.48759629853947,27.91383629853947,4,2,5.47975376380029,5.3621706114576595,22,9.9,9.6
1AD9,50,4,8,2,51,7,13,117,18,0,0,9337,12,15,29,104,9222,79,48,2,4.277054728499518,196,757,27,-83.59697723388672,24,280,8548,101.43852233886719,164,508,178,271,18.71,5.31,5.61,10714.064448383453,8201.91254813998,26.409012448706036,25.951797448706035,4,2,5.354780210697461,4.301670192008956,12,9.52,9.26
1AE6,51,7,11,2,42,2,10,113,12,0,0,8388,11,23,30,47,8288,64,32,2,4.320799952312828,180,648,23,-82.22685241699219,18,252,7843,98.55802154541016,116,327,160,189,11.48,3.32,3.61,11019.009806148646,8341.339149584623,29.037762677294516,28.743547677294515,4,2,5.353077108192232,4.869842193421314,18,9,9
1AIF,51,10,10,2,55,3,11,112,15,0,0,9224,3,19,30,84,9114,70,49,2,4.295804423243712,195,629,35,-80.95549011230469,20,268,8510,92.865936279296875,157,445,177,231,17.13,1.32,1.74,10584.915440423978,8142.360226969742,28.745600919318495,28.603790919318495,4,2,5.425543490408139,4.701868516558007,20,8,8
1AP2,57,8,7,0,43,3,6,115,12,0,0,8752,3,18,31,30,8676,53,48,2,4.29486403107861,192,568,17,-80.18714141845703,8,270,8129,86.63391876220703,136,409,174,254,24.67,-1.92,-1.2,11050.499089597104,8682.32581215853,29.406187793314206,29.503987793314206,4,2,5.708179019643561,4.815881149713855,15,6.01,5.52
1AQK,59,8,11,3,48,3,9,107,12,0,0,8484,2,13,37,39,8394,59,40,2,4.329073550212164,202,511,23,-85.13899230957031,12,263,7981,92.578369140625,92,319,134,184,10.47,6.55,5.56,10388.146711983152,7885.456406690883,28.442493738073633,27.989353738073632,4,2,5.719293287664776,4.5200814203179664,19,10,10
1AXT,44,13,9,1,51,3,9,124,12,0,0,8710,3,16,32,28,8613,64,45,2,4.31778300803674,193,625,26,-81.12882232666016,11,253,8167,94.85417175292969,110,334,185,212,13.89,6.65,5.71,11377.36711556953,8813.292022827149,28.443099814372758,27.97773481437276,4,2,5.02432008291647,4.2830602815311005,22,9.71,9.57
1AY1,53,6,2,4,33,0,9,108,6,0,0,8651,5,24,30,79,8572,47,47,2,4.289855508033753,188,566,34,-82.60224151611328,24,253,7971,95.17822265625,122,477,176,260,2.54,0.82,0.67,11039.835785596795,8767.333870433644,32.2965910449815,32.241986044981495,4,2,6.25696928476178,4.64522388103494,8,8,8
1B2W,46,12,9,1,54,0,4,116,12,0,0,8421,2,16,32,27,8332,60,43,2,4.305057594109964,182,593,11,-81.79911804199219,8,252,7814,90.754241943359375,127,389,156,221,17.83,6.07,4.95,10602.799385881144,8414.40827872997,26.057363507479877,25.65393850747988,4,2,5.30552944323293,4.394968273613472,21,9.74,9.49
1B4J,52,10,15,1,42,2,5,110,12,0,0,8592,1,23,25,60,8500,49,35,4,4.307446461824953,161,581,17,-83.67938232421875,18,235,7987,100.14080810546875,136,373,159,225,11.02,-0.68,-1.51,10576.91529080574,8238.515610954782,26.47673895341684,26.599803953416842,4,2,5.256103201432489,4.508352845280493,25,6,7
1BBD,52,5,12,1,39,2,8,116,15,0,0,8240,4,12,34,25,8162,51,28,2,4.336233009708739,180,512,8,-83.59565734863281,10,243,7787,100.86959838867188,96,277,153,194,17.86,1.31,2.03,11416.244491068768,8980.331123894099,30.089963869138174,29.924518869138176,4,2,5.849189811904973,5.471932744238557,17,8.13,7.91
1BBJ,50,9,8,3,42,0,7,107,12,0,0,8286,4,18,30,40,8203,53,36,2,4.318087134926381,183,551,15,-83.29864501953125,13,254,7746,97.7745361328125,108,347,176,207,8.34,3.79,1.88,10456.788952933182,8094.742832842163,24.587304535986227,24.434084535986226,4,2,5.667992500995731,3.5318806967174874,17,8.3,8.9
1BEY,54,9,11,0,56,3,6,110,18,0,0,8847,3,21,25,33,8749,66,49,2,4.31286311744094,196,685,21,-79.84342956542969,12,268,8259,88.5600814819336,152,336,173,230,7.86,8.31,8.12,10794.235788775519,8384.840397646001,26.940029948641328,26.278249948641328,4,2,5.370758352806871,5.0889532592337945,20,10.2,9.8
1BFO,56,16,10,0,44,1,6,109,12,0,0,8922,4,25,26,16,8836,54,53,2,4.307456848240306,184,606,38,-80.129791259765625,6,262,8289,95.26976776123047,134,411,163,251,16.18,6.32,6.25,10734.004371327454,8308.789607827599,26.768979575757513,26.259604575757514,4,2,4.762988076019956,5.056032726265507,26,9.86,9.54
1BLN,51,10,8,2,37,4,9,117,12,0,0,8991,4,18,31,40,8910,51,47,2,4.305399844288734,200,612,28,-80.212982177734375,12,273,8397,94.43549346923828,130,381,166,210,15.57,7.32,8,10619.633877406375,8077.961228492346,27.023200964241862,26.37120096424186,4,2,5.38947455600292,4.849947247575377,18,9.7,9.6
1BM3,52,6,6,2,34,0,4,102,12,0,0,8036,8,24,26,31,7968,46,50,2,4.307677949228472,169,553,31,-75.998626708984375,10,226,7471,92.22017669677734,123,372,168,216,0.98,5.13,4.26,10376.940905300014,8090.866720650106,25.50201532326869,25.15482532326869,4,2,5.553441368176941,5.01867482085307,12,9.83,9.52
1BVL,50,6,9,1,39,3,6,112,15,0,0,8325,7,20,25,28,8247,53,51,2,4.308676276276277,193,601,30,-80.90404510498047,10,258,7771,92.939910888671875,125,349,153,205,4.14,6.31,6.19,10669.436200622915,8212.642037450298,26.649254643733936,26.144769643733937,4,2,5.52100063734615,5.221983162679686,15,9.87,9.53
1BZ7,51,10,6,0,40,3,12,113,15,0,0,8968,4,27,23,53,8881,56,52,2,4.30322033898305,198,654,28,-84.10960388183594,15,264,8299,96.9925537109375,158,422,169,230,12.08,3.08,2.35,10602.213513169363,8066.388936662586,25.177864199112264,24.986339199112265,4,2,5.340428386137949,4.542763540071345,16,9.05,8.94
1C5B,48,9,10,0,49,7,9,111,9,4,0,8280,5,17,30,11,8193,65,54,2,4.302297101449276,186,553,29,-86.26482391357422,3,258,7698,95.31002044677734,137,356,166,214,5.26,4.08,4.38,10712.8689939103,8220.427441996753,25.75247687606999,25.39550687606999,4,2,5.697855475432032,4.120688797841163,19,9.3,9.2
1C5D,56,14,9,1,33,2,5,106,6,0,0,8674,1,22,32,46,8600,40,65,2,4.286348858658058,184,627,11,-85.56548309326172,11,244,8015,93.58704376220703,123,460,176,256,8.73,4.83,5.07,10537.031267418652,8225.991664560524,28.685111472508623,28.271906472508622,4,2,4.509751049265353,5.22302067475066,23,9.71,9.38
1CFQ,46,6,10,1,41,0,6,110,15,0,0,8058,3,17,28,19,7987,50,50,2,4.2943447505584516,187,516,27,-83.00557708740234,5,254,7515,98.85204315185547,119,351,165,199,16.73,5.55,3.68,10422.844479712925,8138.121069859342,28.472457891332848,28.172537891332848,4,2,5.537483837937491,4.088131160859574,16,9.17,9.31
1CGS,47,7,9,2,48,3,11,117,12,0,0,8394,8,19,30,26,8300,68,41,2,4.326632118179653,181,567,18,-82.472259521484375,10,252,7887,92.055084228515625,118,293,154,194,19.14,3.81,4.22,10530.669409765043,7953.500712244276,26.834101666983354,26.490171666983354,4,2,5.419818043017647,5.720209010280181,16,9,9
1CK0,57,10,10,2,44,6,10,112,9,0,0,8917,12,15,37,13,8821,68,46,2,4.317505887630369,202,599,31,-81.90644836425781,8,276,8340,93.41682434082031,125,354,174,221,28.07,8.07,7.69,11126.292884176293,8552.974008604737,26.017361511119596,25.390626511119596,4,2,5.6198815972531735,4.834017893875412,20,10,10
1CL7,54,10,11,0,56,4,6,112,15,0,0,9048,2,23,26,79,8945,65,47,2,4.308736737400531,195,706,25,-79.82826232910156,17,271,8454,96.16002655029297,138,351,176,214,14.26,-2.2,-1.54,10702.382131506929,8382.698775139273,25.82336091336261,25.948870913362608,4,2,5.099194566789509,4.6604761769713505,21,6.41,6.16
1CLO,52,8,8,1,64,2,14,112,6,0,0,8820,6,26,29,48,8698,84,50,2,4.316890022675738,189,593,35,-82.38983154296875,22,262,8228,103.24646759033203,132,336,161,204,6.33,8.4,9.01,10557.042093915428,8025.257254988574,28.414873982036585,27.680558982036587,4,2,5.753395836725751,5.480391861506217,16,10.22,9.74
1CR9,52,9,13,3,36,1,6,107,12,0,0,8081,2,17,33,39,8004,44,46,2,4.314675163964856,178,526,23,-82.83349609375,11,246,7583,99.95893859863281,119,300,165,191,17.72,-0.44,-1.03,10876.191297630618,8417.999479153967,26.921746007707334,27.005691007707334,4,2,5.297477161177659,4.104183628695559,22,7,7
1CT8,49,9,14,0,45,0,10,114,9,0,0,8465,3,19,33,61,8370,58,51,2,4.314141760189013,190,552,15,-83.05135345458984,14,254,7874,100.82542419433594,109,385,160,226,11.6,6.13,6.36,10398.096276399203,8104.809368766423,27.80826731168858,27.289927311688583,4,2,5.246810815914192,4.826007162662792,23,9.67,9.54
1D5B,53,9,14,0,48,3,14,116,12,0,0,8535,4,17,29,44,8429,66,46,1,4.318107791446983,174,548,20,-78.86433410644531,17,243,7987,103.53388214111328,125,316,160,220,17.59,2.56,4.12,11102.538545903793,8648.026165261726,27.531196648480726,27.195416648480727,4,2,5.040365284313528,4.989899905960426,23,8.89,8.42
1D5I,53,8,14,0,49,2,14,116,12,0,0,8390,4,17,29,30,8287,67,46,1,4.3184112038140645,173,537,19,-78.86433410644531,14,239,7860,103.53388214111328,120,306,158,211,17.26,1.32,2.92,11031.773081088348,8610.906932301958,27.89664445017411,27.65866445017411,4,2,5.003557738922653,4.989899905960426,22,8.46,7.91
1DBA,57,5,10,2,45,0,9,111,15,0,0,8931,3,17,29,33,8844,57,48,2,4.2953207927443735,191,635,19,-79.67921447753906,15,262,8283,95.8359603881836,139,420,182,256,17.33,2.56,2.44,11112.891797581466,8622.577312552436,29.514779764163535,29.315919764163535,4,2,5.484595510190477,5.259576721543905,15,8.35,8.48
1DEE,56,14,7,0,49,1,4,113,12,0,0,8867,3,19,28,17,8785,56,46,2,4.309683094620503,200,605,21,-83.34429931640625,5,274,8270,95.442108154296875,134,379,152,205,13.06,7.06,6.83,10564.72809791175,8236.435785548396,27.971992434326786,27.415347434326787,4,2,5.789422852332032,4.696527306967479,21,9.56,9.54
1DFB,61,12,7,1,50,1,5,116,6,0,0,8977,3,13,34,51,8885,58,53,2,4.296649214659686,185,675,22,-82.081817626953125,15,257,8305,102.61819458007812,129,449,177,234,12.18,4.07,4.09,11353.89827952022,8738.878698764758,29.106041119020038,28.772706119020036,4,2,5.530039560515708,4.425356370604098,19,9.15,9.14
1DLF,54,11,7,4,47,2,10,113,9,0,0,9218,4,15,37,61,9120,61,48,2,4.3110707311781296,206,650,24,-77.448699951171875,19,281,8613,87.99610900878906,147,358,174,238,17.29,6.04,6.83,10966.161062610998,8489.165805504801,26.803751813546572,26.247106813546573,4,2,4.695286321382281,4.6743102709606905,18,9.52,9.34
1DN0,56,7,14,0,50,3,7,109,9,0,0,8844,0,28,26,37,8750,58,53,2,4.308351424694709,191,604,30,-81.839019775390625,15,262,8248,96.78336334228516,140,360,142,227,4.6,1.56,1.98,10227.106797156044,7766.254460259549,26.7169947781721,26.5556247781721,4,2,5.666928459078773,4.636819128424142,21,8.14,7.96
1DQD,50,4,9,0,38,0,3,117,9,0,0,8287,4,24,28,19,8220,45,48,2,4.304118498853627,194,541,27,-80.92456817626953,9,269,7701,98.9201431274414,141,376,169,243,8.17,5.05,4.99,10854.259585621414,8484.609988014052,31.170436601437263,30.763751601437264,8,2,6.878998796979809,4.964901179878736,13,9.44,9.1
1DQL,56,11,5,0,39,8,10,111,9,0,0,8561,4,21,31,26,8482,55,41,2,4.3007744422380565,194,543,29,-82.74516296386719,8,269,7989,91.11139678955078,120,371,149,211,10.47,7.06,6.22,10656.25345064529,8049.624333763495,26.29200747851463,25.78507747851463,4,2,5.512081657232319,5.081313632867487,16,10,10
1DQM,43,14,6,1,44,0,5,111,9,0,0,8404,2,21,34,68,8314,51,45,1,4.306913374583531,186,598,27,-81.27214813232422,19,262,7807,100.89633178710938,129,377,173,228,7.14,1.55,0.8,10030.685702812041,7816.222698254872,26.9468320435782,26.8816320435782,4,2,5.837323835769592,4.819203354866284,20,8,8
1DQQ,44,9,8,1,44,0,6,111,12,0,0,8198,1,20,31,38,8118,51,42,1,4.3044913393510615,192,553,28,-81.84429931640625,12,260,7620,101.80500030517578,123,374,161,231,9,1.55,0.78,10246.590483069816,8027.201461062817,27.530641249602223,27.467071249602224,4,2,5.963268045506741,5.054332591854683,17,8,8
1DSF,55,5,11,2,51,1,7,111,9,0,0,9097,3,19,34,32,9007,61,59,3,4.308601736836319,203,590,30,-80.47393035888672,13,271,8464,94.264801025390625,153,387,183,234,10.32,2.55,1.47,10729.302107887366,8261.33513273299,28.972768419910388,28.852963419910388,12,3,5.1938640859849805,3.827077942192184,16,7.75,8.49
1E6O,47,6,9,2,49,5,13,118,15,0,0,8912,7,17,26,46,8804,71,39,2,4.2969928186714546,181,536,19,-82.819976806640625,22,264,8257,97.36308288574219,129,416,187,229,12.27,6.31,5.98,10288.034196320585,7880.454565469798,28.91061383164212,28.42324383164212,4,2,6.0200758334656435,4.203789113512394,15,9.51,9.36
1EMT,49,8,10,2,52,5,9,110,15,0,0,8601,5,18,26,23,8506,68,48,2,4.29157074758749,180,592,7,-78.61186218261719,9,264,7987,93.0326919555664,135,382,160,226,15.93,7.07,7.37,10290.521034749416,7871.944297251857,26.733857571866572,26.133202571866573,4,2,5.590108633719266,3.7935394717626973,18,9.61,9.6
1F11,43,16,10,0,43,0,3,125,15,0,0,8631,6,17,29,62,8543,52,40,2,4.307241339358127,183,611,15,-82.21614074707031,10,264,8062,104.78207397460938,132,347,171,202,24.78,0.31,0.54,10684.059968794876,8147.726662435839,27.9326450413004,27.8886350413004,4,2,5.908332343306832,4.412608264400679,26,7.2,7.24
1F4W,47,5,3,0,34,4,14,122,18,0,0,8549,4,7,32,56,8474,53,47,2,4.305628728506258,206,530,27,-79.18231964111328,14,289,7995,99.34687805175781,114,363,149,199,9.9,0.57,0.45,10158.30892161922,7615.787781033166,27.03648710669809,26.99981210669809,4,2,3.810522382846922,4.574892909050687,8,7.31,7.35
1F8T,47,9,9,2,55,0,8,115,6,0,0,8700,1,25,34,30,8606,64,35,2,4.320079310344828,200,578,17,-82.78252410888672,12,259,8173,101.60001373291016,102,329,170,216,18.07,3.07,2.82,10719.951289743003,8324.92514243953,29.141802035948263,28.911972035948263,4,2,6.438872547562198,4.369964198007933,18,9.1,8.9
1FAI,52,5,11,0,44,3,7,114,9,0,0,8811,5,18,38,33,8727,57,39,2,4.306664396776756,184,585,17,-84.02898406982422,11,261,8238,92.2978286743164,133,354,174,232,11.28,6.31,6.73,10817.0922382105,8284.753991713204,25.02923452739777,24.48073952739777,4,2,5.582252779324,4.511244879681383,16,9.56,9.41
1FGN,48,9,8,0,46,4,10,118,12,0,0,8352,1,18,28,24,8264,58,48,2,4.318533285440614,190,519,19,-85.44062042236328,13,248,7802,96.4808120727539,122,338,189,225,6.97,-1.68,-2.04,10702.43933840317,8390.630657039244,25.135363637120555,25.301623637120557,4,2,5.448184026763168,4.625201374024189,17,6,6
1FGV,45,13,8,0,33,1,7,122,15,0,0,8830,6,16,29,50,8753,46,41,2,4.304491506228765,194,601,23,-81.88590240478516,10,271,8181,97.64229583740234,148,422,174,242,8.41,4.07,4.45,10606.857846354857,8040.012457028118,26.722257544230878,26.35958254423088,4,2,6.049595725404226,4.716310552487903,21,9.53,9.14
1FH5,53,9,11,1,37,4,11,101,12,0,0,8097,7,17,30,25,8014,56,43,2,4.2960726194887,175,543,22,-75.69532775878906,7,237,7490,94.20137023925781,146,376,143,220,9.63,3.3,2.05,10206.19101097298,7932.9392685607645,27.029349773029054,26.862274773029053,0,0,5.58123961241232,4.9002843506572225,20,9.1,8.8
1FL5,56,14,10,2,54,8,13,112,12,0,0,8933,9,16,33,18,8824,79,42,2,4.313215045337512,210,612,29,-77.51213073730469,6,272,8361,95.95759582519531,125,336,167,206,20.68,5.32,7.05,10667.825601070384,8099.280141421464,27.63670344687265,27.062128446872652,4,2,4.768958090818681,5.592407001368684,24,9.67,9.34
1FN4,57,18,11,0,42,0,9,108,15,0,0,8833,2,25,24,97,8734,53,38,2,4.28636137212725,176,620,25,-82.19559478759766,17,251,8109,95.31835174560547,172,451,159,241,20.49,4.07,4.65,10780.641057768145,8253.34271707459,29.025665089086502,28.6466900890865,4,2,5.838038767215841,5.538457267985833,29,9.42,9.12
1FOR,50,3,14,2,44,5,9,113,12,0,0,8402,9,20,26,18,8313,64,42,1,4.310628421804331,181,523,25,-81.40897369384766,8,250,7821,101.10047912597656,141,350,159,211,10.41,8.07,7.49,10205.073969334579,7690.627663044022,28.12878044750243,27.51834544750243,4,2,5.991373528821319,4.486044125448749,17,9.75,9.63
1FVC,50,11,6,1,49,0,8,116,12,0,0,8801,6,18,30,36,8708,63,59,1,4.297561640722645,189,582,23,-83.58897399902344,13,274,8172,93.371368408203125,148,387,179,244,6.49,5.31,5.23,10423.937821657926,8001.758426954809,25.94748674259115,25.521241742591148,4,2,5.593818786115077,4.551925763932508,17,9.56,9.31
1FVD,53,9,9,0,55,3,9,109,9,0,0,8458,7,18,34,36,8357,72,38,1,4.302018207614094,185,586,22,-82.0273666381836,11,252,7888,97.99098205566406,125,343,154,196,8.86,4.4,4.78,10420.822743191558,7806.5222687693195,26.047644808318346,25.658074808318347,4,2,5.40898500196791,4.264254996341173,18,9.6,9.4
1FVE,54,10,7,1,55,1,6,110,9,0,0,8381,7,19,31,23,8288,68,38,1,4.305940818518076,178,543,19,-81.74512481689453,8,256,7830,97.9030990600586,119,338,146,206,14.91,4.4,4.94,10787.099802500301,8168.734630421843,27.656137803494463,27.253527803494464,4,2,5.382418916126099,4.264895330122911,17,9.54,9.33
1GGB,45,8,14,1,41,0,8,114,12,0,0,8606,0,22,31,27,8530,49,44,2,4.313431326981177,195,603,34,-84.67736053466797,5,254,8065,101.63379669189453,122,341,166,211,1.08,-0.68,-0.61,10535.760077134646,8079.374852216904,25.684565915340464,25.734280915340463,4,2,5.2199587705093755,4.424135504947793,22,7,7
1GGC,45,8,14,1,41,0,8,114,12,0,0,8620,0,22,31,27,8544,49,44,2,4.3122900232018555,198,606,34,-84.67736053466797,5,254,8073,101.63379669189453,124,345,167,214,4.49,-0.68,-0.58,10537.290849528526,8065.654858955563,25.693548598307018,25.74081859830702,4,2,5.2199587705093755,4.4241355049477935,22,7,7
1GIG,50,10,11,1,37,1,13,121,9,0,0,8482,9,15,35,70,8383,59,60,2,4.317143362414525,179,573,21,-84.54851531982422,19,245,7914,94.9043197631836,106,361,174,227,13,0.55,1.09,11035.470618803232,8537.212187648067,31.948464854360473,31.859629854360474,4,2,4.54832710709227,5.1957347055500565,21,7.66,7.34
1GPO,48,10,10,3,38,0,1,108,9,0,0,8072,1,27,30,30,7992,40,38,1,4.312828295341922,192,608,21,-81.5333480834961,20,256,7525,98.146636962890625,138,328,142,205,8.09,-4.67,-4.03,10934.880496152515,8446.813288317147,26.34651585645406,26.67496085645406,4,2,5.426910489770474,4.312661615236768,20,5.25,5.04
1H3P,57,6,10,1,41,2,5,112,9,0,0,8841,9,17,28,44,8756,55,46,2,4.304746069449157,192,639,20,-79.00447082519531,14,269,8247,100.48527526855469,131,376,175,231,12.52,2.93,2.52,10977.473916862835,8480.0561144538,28.783329311554148,28.577949311554146,4,2,6.191837999991909,4.7697727332261834,16,9.12,9.12
1HEZ,56,14,7,0,50,1,4,113,12,0,0,8913,3,19,28,17,8830,57,46,2,4.310048244137775,198,604,21,-83.34429931640625,5,272,8312,95.442108154296875,135,381,152,205,13.18,7.07,6.83,10540.270419543009,8235.003305832062,27.689606057986566,27.132961057986567,4,2,5.800876089333482,4.696527306967479,21,9.58,9.55
1HIL,49,7,8,0,39,3,6,117,12,0,0,8865,7,20,34,30,8787,53,52,2,4.3168313592780585,201,566,20,-81.57757568359375,10,276,8323,95.94139099121094,126,336,173,234,18.27,2.84,4.35,10800.998830712417,8365.595563444193,26.94349467400221,26.58896967400221,4,2,5.658124782613762,4.864161913322342,15,9.05,8.84
1HKL,52,13,7,1,37,0,5,107,18,0,0,7843,0,16,27,5,7778,42,31,2,4.303367333928343,191,481,22,-84.900909423828125,3,254,7315,94.36650085449219,116,345,154,199,7.8,4.31,3.88,10950.1701513148,8542.759586602584,27.623712458938755,27.307492458938754,4,2,5.989251519450659,3.861159243538332,20,9.1,9.1
1HQ4,46,8,9,0,55,0,10,112,9,0,0,8890,1,23,32,72,8789,66,50,1,4.29261979752531,201,641,25,-83.19774627685547,18,275,8201,101.58560180664062,135,452,171,241,-0.21,4.82,4.75,10008.139700329033,7703.9522225101255,29.0838697440398,28.696744744039798,4,2,5.848887539325542,5.382456121735749,17,9.7,9.3
1HZH,62,12,14,0,48,5,15,117,9,0,0,9128,11,13,33,57,9006,76,44,2,4.317105609114812,199,627,23,-77.09954833984375,20,266,8509,102.61409759521484,124,371,177,219,11.99,9.8,8.98,11612.635718676367,9138.335366810408,26.853468740791943,26.121598740791942,4,2,5.887142528979182,4.37542517048653,26,10.42,9.85
1I3G,46,7,12,0,52,4,8,109,9,0,0,7869,3,18,35,24,7773,65,52,2,4.320460033041048,165,523,9,-84.22071838378906,12,225,7376,92.35302734375,99,296,145,191,8.51,4.3,3.92,10595.678817595332,8325.735986107828,26.7291569550101,26.409676955010102,4,2,4.574640750947322,4.382196525767967,19,9.13,9.15
